Date Time (ET), Port of Albany (°F),Norrie Point (°F),Piermont (°F)
8/25/11 0:00,74.678,76.118,no data available
8/25/11 0:15,74.696,76.082,
8/25/11 0:30,74.714,76.118,
8/25/11 0:45,74.696,76.064,
8/25/11 1:00,74.678,76.064,
8/25/11 1:15,74.678,76.082,
8/25/11 1:30,74.678,76.082,
8/25/11 1:45,74.66,75.992,
8/25/11 2:00,74.66,76.028,
8/25/11 2:15,74.696,76.028,
8/25/11 2:30,74.66,76.01,
8/25/11 2:45,74.696,75.992,
8/25/11 3:00,74.696,75.992,
8/25/11 3:15,74.732,75.956,
8/25/11 3:30,74.732,75.956,
8/25/11 3:45,74.732,75.938,
8/25/11 4:00,74.624,75.956,
8/25/11 4:15,74.696,75.938,
8/25/11 4:30,74.696,75.902,
8/25/11 4:45,74.678,75.884,
8/25/11 5:00,74.714,75.884,
8/25/11 5:15,74.732,75.848,
8/25/11 5:30,74.75,75.866,
8/25/11 5:45,74.75,75.83,
8/25/11 6:00,74.732,75.794,
8/25/11 6:15,74.732,75.776,
8/25/11 6:30,74.75,75.74,
8/25/11 6:45,74.75,75.758,
8/25/11 7:00,74.75,75.758,
8/25/11 7:15,74.768,75.686,
8/25/11 7:30,74.786,75.74,
8/25/11 7:45,74.804,75.686,
8/25/11 8:00,74.804,75.704,
8/25/11 8:15,74.822,75.758,
8/25/11 8:30,74.84,75.758,
8/25/11 8:45,74.858,75.812,
8/25/11 9:00,74.876,75.866,
8/25/11 9:15,74.858,75.866,
8/25/11 9:30,74.876,75.902,
8/25/11 9:45,74.858,75.902,
8/25/11 10:00,74.858,75.884,
8/25/11 10:15,74.858,75.884,
8/25/11 10:30,74.84,75.848,
8/25/11 10:45,74.822,75.83,
8/25/11 11:00,74.804,75.866,
8/25/11 11:15,74.786,75.866,
8/25/11 11:30,74.804,75.83,
8/25/11 11:45,74.804,75.74,
8/25/11 12:00,74.804,75.866,
8/25/11 12:15,74.804,75.884,
8/25/11 12:30,74.804,75.902,
8/25/11 12:45,74.804,75.938,
8/25/11 13:00,74.804,75.92,
8/25/11 13:15,74.804,75.938,
8/25/11 13:30,74.804,75.902,
8/25/11 13:45,74.84,75.956,
8/25/11 14:00,74.822,75.938,
8/25/11 14:15,74.822,75.938,
8/25/11 14:30,74.84,75.938,
8/25/11 14:45,74.84,75.938,
8/25/11 15:00,74.822,75.974,
8/25/11 15:15,74.84,75.974,
8/25/11 15:30,74.84,76.01,
8/25/11 15:45,74.84,76.01,
8/25/11 16:00,74.822,75.956,
8/25/11 16:15,74.93,75.956,
8/25/11 16:30,75.074,75.956,
8/25/11 16:45,74.948,75.938,
8/25/11 17:00,74.93,76.01,
8/25/11 17:15,74.894,75.992,
8/25/11 17:30,74.858,75.992,
8/25/11 17:45,74.804,75.992,
8/25/11 18:00,74.588,76.01,
8/25/11 18:15,74.48,75.992,
8/25/11 18:30,74.39,75.974,
8/25/11 18:45,74.444,75.974,
8/25/11 19:00,74.408,75.938,
8/25/11 19:15,74.39,75.938,
8/25/11 19:30,74.336,75.92,
8/25/11 19:45,74.354,75.902,
8/25/11 20:00,74.246,75.884,
8/25/11 20:15,74.318,75.902,
8/25/11 20:30,74.228,75.884,
8/25/11 20:45,74.21,75.902,
8/25/11 21:00,74.21,75.866,
8/25/11 21:15,74.174,75.884,
8/25/11 21:30,74.174,75.884,
8/25/11 21:45,74.156,75.884,
8/25/11 22:00,74.156,75.884,
8/25/11 22:15,74.138,75.884,
8/25/11 22:30,74.138,75.902,
8/25/11 22:45,74.156,75.902,
8/25/11 23:00,74.174,75.866,
8/25/11 23:15,74.192,75.884,
8/25/11 23:30,74.192,75.848,
8/25/11 23:45,74.192,75.866,
8/26/11 0:00,74.192,75.902,
8/26/11 0:15,74.174,75.866,
8/26/11 0:30,74.174,75.866,
8/26/11 0:45,74.174,75.848,
8/26/11 1:00,74.174,75.776,
8/26/11 1:15,74.156,75.848,
8/26/11 1:30,74.156,75.83,
8/26/11 1:45,74.138,75.848,
8/26/11 2:00,74.138,75.83,
8/26/11 2:15,74.138,75.794,
8/26/11 2:30,74.12,75.776,
8/26/11 2:45,74.084,75.812,
8/26/11 3:00,74.084,75.812,
8/26/11 3:15,74.12,75.812,
8/26/11 3:30,74.084,75.794,
8/26/11 3:45,74.084,75.758,
8/26/11 4:00,74.066,75.74,
8/26/11 4:15,74.084,75.758,
8/26/11 4:30,74.102,75.758,
8/26/11 4:45,74.102,75.74,
8/26/11 5:00,74.102,75.686,
8/26/11 5:15,74.102,75.704,
8/26/11 5:30,73.976,75.686,
8/26/11 5:45,73.85,75.686,
8/26/11 6:00,73.742,75.686,
8/26/11 6:15,73.742,75.65,
8/26/11 6:30,73.652,75.65,
8/26/11 6:45,73.562,75.65,
8/26/11 7:00,73.472,75.614,
8/26/11 7:15,73.49,75.65,
8/26/11 7:30,73.382,75.614,
8/26/11 7:45,73.328,75.668,
8/26/11 8:00,73.274,75.65,
8/26/11 8:15,73.274,75.668,
8/26/11 8:30,73.22,75.704,
8/26/11 8:45,73.112,75.704,
8/26/11 9:00,73.094,75.758,
8/26/11 9:15,73.148,75.776,
8/26/11 9:30,73.094,75.848,
8/26/11 9:45,73.076,75.884,
8/26/11 10:00,73.094,75.92,
8/26/11 10:15,73.184,76.028,
8/26/11 10:30,73.274,76.136,
8/26/11 10:45,73.112,76.172,
8/26/11 11:00,73.4,76.136,
8/26/11 11:15,73.598,76.334,
8/26/11 11:30,73.76,76.334,
8/26/11 11:45,73.958,76.874,
8/26/11 12:00,73.688,76.802,
8/26/11 12:15,73.328,77.018,
8/26/11 12:30,73.22,76.37,
8/26/11 12:45,73.22,76.406,
8/26/11 13:00,74.192,76.46,
8/26/11 13:15,74.462,76.388,
8/26/11 13:30,73.85,76.46,
8/26/11 13:45,73.4,76.658,
8/26/11 14:00,73.652,76.388,
8/26/11 14:15,73.49,76.712,
