Date Time (ET), Port of Albany Depth(ft),Norrie Point Depth(ft),Piermont Depth(ft)
8/25/11 0:00,10.82008,9.31091,no data available
8/25/11 0:15,10.9185,9.140309,
8/25/11 0:30,11.09895,8.966426,
8/25/11 0:45,11.09895,8.808948,
8/25/11 1:00,11.13832,8.65147,
8/25/11 1:15,11.16128,8.493991,
8/25/11 1:30,11.10879,8.333232,
8/25/11 1:45,11.03989,8.185596,
8/25/11 2:00,10.9185,8.034679,
8/25/11 2:15,10.70853,7.87392,
8/25/11 2:30,10.5084,7.696757,
8/25/11 2:45,10.21969,7.50647,
8/25/11 3:00,9.990036,7.345711,
8/25/11 3:15,9.711168,7.198075,
8/25/11 3:30,9.429019,7.05372,
8/25/11 3:45,9.199363,6.912646,
8/25/11 4:00,8.94018,6.778133,
8/25/11 4:15,8.749894,6.669866,
8/25/11 4:30,8.53008,6.568162,
8/25/11 4:45,8.359478,6.489422,
8/25/11 5:00,8.208562,6.43693,
8/25/11 5:15,8.018275,6.413964,
8/25/11 5:30,7.83127,6.44021,
8/25/11 5:45,7.690195,6.509107,
8/25/11 6:00,7.460539,6.620654,
8/25/11 6:15,7.319465,6.774852,
8/25/11 6:30,7.079966,6.955296,
8/25/11 6:45,6.88968,7.148863,
8/25/11 7:00,6.699394,7.33915,
8/25/11 7:15,6.528792,7.532717,
8/25/11 7:30,6.318821,7.726284,
8/25/11 7:45,6.161342,7.877201,
8/25/11 8:00,6.000583,8.060926,
8/25/11 8:15,5.908721,8.205281,
8/25/11 8:30,5.790612,8.336513,
8/25/11 8:45,5.679065,8.461183,
8/25/11 9:00,5.649538,8.582573,
8/25/11 9:15,5.649538,8.674435,
8/25/11 9:30,5.859509,8.746613,
8/25/11 9:45,6.1515,8.802386,
8/25/11 10:00,6.528792,8.835194,
8/25/11 10:15,6.938892,8.822071,
8/25/11 10:30,7.329307,8.812229,
8/25/11 10:45,7.729565,8.789263,
8/25/11 11:00,8.169192,8.713805,
8/25/11 11:15,8.56945,8.631785,
8/25/11 11:30,8.890968,8.559607,
8/25/11 11:45,9.130466,8.44806,
8/25/11 12:00,9.330595,8.287301,
8/25/11 12:15,9.419177,8.149507,
8/25/11 12:30,9.540566,7.962502,
8/25/11 12:45,9.619306,7.798462,
8/25/11 13:00,9.701326,7.637702,
8/25/11 13:15,9.740695,7.483505,
8/25/11 13:30,9.79975,7.355554,
8/25/11 13:45,9.809592,7.184952,
8/25/11 14:00,9.789907,7.037316,
8/25/11 14:15,9.740695,6.942173,
8/25/11 14:30,9.629148,6.856872,
8/25/11 14:45,9.458546,6.797818,
8/25/11 15:00,9.238733,6.709236,
8/25/11 15:15,9.018919,6.620654,
8/25/11 15:30,8.740051,6.525511,
8/25/11 15:45,8.49071,6.423806,
8/25/11 16:00,8.179034,6.308978,
8/25/11 16:15,7.969063,6.210554,
8/25/11 16:30,7.729565,6.135096,
8/25/11 16:45,7.568806,6.099007,
8/25/11 17:00,7.401485,6.105569,
8/25/11 17:15,7.211198,6.154781,
8/25/11 17:30,7.070124,6.263047,
8/25/11 17:45,6.748606,6.433649,
8/25/11 18:00,6.719078,6.60425,
8/25/11 18:15,6.528792,6.801098,
8/25/11 18:30,6.338506,7.050439,
8/25/11 18:45,6.19087,7.29978,
8/25/11 19:00,6.039953,7.591771,
8/25/11 19:15,5.898878,7.883762,
8/25/11 19:30,5.761085,8.11998,
8/25/11 19:45,5.65938,8.349636,
8/25/11 20:00,5.541271,8.57273,
8/25/11 20:15,5.478936,8.792544,
8/25/11 20:30,5.390354,9.028762,
8/25/11 20:45,5.380512,9.238733,
