Date Time (ET), Port of Albany D.O. (ppm),Norrie Point D.O. (ppm),Piermont D.O. (ppm), Port of Albany Turbidity in NTU,Norrie Point Turbidity in NTU,Piermont Turbidity in NTU
2011-08-25 00:00:00,7.68,7.81,no data available,4.0,9.3,no data available
2011-08-25 00:15:00,7.6,7.73,,3.9,8.4,
2011-08-25 00:30:00,7.57,7.63,,4.3,7.9,
2011-08-25 00:45:00,7.72,7.67,,4.7,8.1,
2011-08-25 01:00:00,7.74,7.63,,4.4,8.4,
2011-08-25 01:15:00,7.71,7.6,,5.4,8.1,
2011-08-25 01:30:00,7.6,7.57,,3.9,8.9,
2011-08-25 01:45:00,7.66,7.58,,4.1,9.2,
2011-08-25 02:00:00,7.84,7.58,,4.2,8.1,
2011-08-25 02:15:00,7.82,7.59,,4.6,8.4,
2011-08-25 02:30:00,7.82,7.61,,4.1,8.9,
2011-08-25 02:45:00,7.77,7.62,,4.6,9.4,
2011-08-25 03:00:00,7.76,7.6,,5.1,10.9,
2011-08-25 03:15:00,7.78,7.57,,5.8,8.3,
2011-08-25 03:30:00,7.8,7.57,,4.5,10.5,
2011-08-25 03:45:00,7.77,7.55,,4.9,8.7,
2011-08-25 04:00:00,7.73,7.54,,3.1,9.0,
2011-08-25 04:15:00,7.63,7.54,,2.9,8.1,
2011-08-25 04:30:00,7.59,7.47,,4.2,8.1,
2011-08-25 04:45:00,7.82,7.5,,3.5,8.1,
2011-08-25 05:00:00,7.79,7.44,,3.5,8.7,
2011-08-25 05:15:00,7.83,7.51,,3.3,9.0,
2011-08-25 05:30:00,7.81,7.56,,3.3,9.1,
2011-08-25 05:45:00,7.84,7.56,,3.4,9.7,
2011-08-25 06:00:00,7.86,7.54,,3.5,8.3,
2011-08-25 06:15:00,7.86,7.53,,3.4,8.7,
2011-08-25 06:30:00,7.86,7.5,,3.8,8.9,
2011-08-25 06:45:00,7.85,7.54,,3.6,9.2,
2011-08-25 07:00:00,7.87,7.53,,4.0,8.3,
2011-08-25 07:15:00,7.82,7.46,,3.3,8.0,
2011-08-25 07:30:00,7.85,7.57,,3.4,8.0,
2011-08-25 07:45:00,7.9,7.52,,3.8,9.3,
2011-08-25 08:00:00,7.83,7.52,,3.5,8.9,
2011-08-25 08:15:00,7.94,7.51,,3.9,8.9,
2011-08-25 08:30:00,7.97,7.51,,3.7,11.4,
2011-08-25 08:45:00,7.98,7.54,,3.9,8.6,
2011-08-25 09:00:00,7.97,7.58,,3.4,8.7,
2011-08-25 09:15:00,7.93,7.57,,4.7,9.2,
2011-08-25 09:30:00,7.89,7.6,,2.9,8.6,
2011-08-25 09:45:00,8.0,7.57,,3.4,8.1,
2011-08-25 10:00:00,7.94,7.56,,3.7,8.2,
2011-08-25 10:15:00,7.96,7.54,,3.8,8.4,
2011-08-25 10:30:00,7.95,7.54,,3.2,8.7,
2011-08-25 10:45:00,7.96,7.52,,3.9,7.7,
2011-08-25 11:00:00,7.91,7.48,,4.0,7.7,
2011-08-25 11:15:00,7.9,7.43,,3.7,7.8,
2011-08-25 11:30:00,7.79,7.27,,3.5,8.3,
2011-08-25 11:45:00,7.74,7.48,,3.6,9.0,
2011-08-25 12:00:00,7.77,7.57,,4.0,9.2,
2011-08-25 12:15:00,7.79,7.63,,4.2,9.7,
2011-08-25 12:30:00,7.75,7.68,,3.6,8.3,
2011-08-25 12:45:00,7.7,7.7,,3.7,7.6,
2011-08-25 13:00:00,7.75,7.75,,4.0,7.7,
2011-08-25 13:15:00,7.61,7.76,,3.9,7.3,
2011-08-25 13:30:00,7.77,7.72,,4.3,7.6,
2011-08-25 13:45:00,7.78,7.74,,3.4,7.9,
2011-08-25 14:00:00,7.83,7.75,,4.4,9.7,
2011-08-25 14:15:00,7.92,7.77,,4.0,8.3,
2011-08-25 14:30:00,7.95,7.76,,5.4,7.8,
2011-08-25 14:45:00,7.86,7.73,,4.6,9.7,
2011-08-25 15:00:00,7.78,7.77,,4.5,8.3,
2011-08-25 15:15:00,7.62,7.74,,3.4,9.6,
2011-08-25 15:30:00,7.64,7.87,,3.8,8.1,
2011-08-25 15:45:00,7.72,7.83,,4.1,8.2,
2011-08-25 16:00:00,7.72,7.72,,4.4,9.8,
2011-08-25 16:15:00,7.74,7.71,,3.4,8.4,
2011-08-25 16:30:00,7.92,7.71,,3.1,8.6,
2011-08-25 16:45:00,7.76,7.59,,4.0,9.2,
2011-08-25 17:00:00,7.74,7.7,,5.8,9.2,
2011-08-25 17:15:00,7.71,7.81,,4.7,8.4,
2011-08-25 17:30:00,7.62,7.8,,4.4,8.7,
2011-08-25 17:45:00,7.66,7.75,,6.8,9.5,
2011-08-25 18:00:00,7.75,7.95,,4.6,6.9,
2011-08-25 18:15:00,7.76,7.88,,4.2,7.1,
2011-08-25 18:30:00,7.79,7.84,,4.3,7.0,
2011-08-25 18:45:00,7.73,7.83,,4.2,6.8,
2011-08-25 19:00:00,7.7,7.81,,4.6,9.0,
2011-08-25 19:15:00,7.64,7.76,,5.4,10.6,
2011-08-25 19:30:00,7.62,7.72,,6.2,9.5,
2011-08-25 19:45:00,7.53,7.64,,5.0,9.7,
2011-08-25 20:00:00,7.62,7.62,,6.9,12.3,
2011-08-25 20:15:00,7.49,7.61,,5.1,10.5,
2011-08-25 20:30:00,7.58,7.6,,6.6,10.8,
2011-08-25 20:45:00,7.61,7.61,,7.2,8.9,
2011-08-25 21:00:00,7.52,7.6,,6.2,8.7,
2011-08-25 21:15:00,7.6,7.59,,6.1,8.7,
2011-08-25 21:30:00,7.61,7.57,,6.3,8.3,
2011-08-25 21:45:00,7.62,7.56,,6.3,8.3,
2011-08-25 22:00:00,7.67,7.54,,5.8,8.6,
2011-08-25 22:15:00,7.68,7.5,,5.3,8.9,
2011-08-25 22:30:00,7.7,7.48,,5.0,9.4,
2011-08-25 22:45:00,7.68,7.46,,4.6,9.1,
2011-08-25 23:00:00,7.65,7.42,,4.5,10.6,
2011-08-25 23:15:00,7.65,7.27,,4.0,7.5,
2011-08-25 23:30:00,7.54,7.26,,4.4,8.5,
2011-08-25 23:45:00,7.36,7.41,,4.2,8.4,
2011-08-26 00:00:00,7.33,7.35,,3.4,8.4,
2011-08-26 00:15:00,7.55,7.41,,5.1,9.0,
2011-08-26 00:30:00,7.43,7.41,,5.0,8.7,
2011-08-26 00:45:00,7.53,7.45,,5.2,7.5,
2011-08-26 01:00:00,7.47,7.45,,4.9,8.1,
2011-08-26 01:15:00,7.48,7.42,,4.7,7.6,
2011-08-26 01:30:00,7.49,7.38,,5.2,8.9,
2011-08-26 01:45:00,7.51,7.39,,4.5,8.1,
2011-08-26 02:00:00,7.52,7.37,,4.8,8.1,
2011-08-26 02:15:00,7.45,7.36,,5.0,8.6,
2011-08-26 02:30:00,7.58,7.33,,4.4,8.1,
2011-08-26 02:45:00,7.68,7.34,,4.4,8.8,
2011-08-26 03:00:00,7.62,7.34,,5.6,8.5,
2011-08-26 03:15:00,7.42,7.37,,4.9,9.6,
2011-08-26 03:30:00,7.55,7.34,,4.4,9.7,
2011-08-26 03:45:00,7.53,7.38,,5.0,9.7,
2011-08-26 04:00:00,7.62,7.33,,5.8,9.2,
2011-08-26 04:15:00,7.62,7.33,,5.2,8.9,
2011-08-26 04:30:00,7.71,7.32,,6.6,9.5,
2011-08-26 04:45:00,7.67,7.26,,5.6,9.6,
2011-08-26 05:00:00,7.73,7.25,,7.0,10.1,
2011-08-26 05:15:00,7.66,7.2,,5.7,8.9,
2011-08-26 05:30:00,7.75,7.18,,5.8,9.6,
2011-08-26 05:45:00,7.78,7.08,,8.9,9.2,
2011-08-26 06:00:00,7.79,6.75,,8.3,8.7,
2011-08-26 06:15:00,7.78,7.25,,8.6,11.2,
2011-08-26 06:30:00,7.74,7.35,,8.8,10.6,
2011-08-26 06:45:00,7.75,7.36,,8.1,13.5,
2011-08-26 07:00:00,7.74,7.25,,8.1,12.5,
2011-08-26 07:15:00,7.7,7.36,,8.2,12.3,
2011-08-26 07:30:00,7.68,7.39,,8.4,10.9,
2011-08-26 07:45:00,7.62,7.4,,8.2,10.5,
2011-08-26 08:00:00,7.66,7.41,,7.5,10.4,
2011-08-26 08:15:00,7.51,7.42,,7.0,13.6,
2011-08-26 08:30:00,7.58,7.45,,7.0,10.8,
2011-08-26 08:45:00,7.62,7.46,,7.2,11.5,
2011-08-26 09:00:00,7.63,7.42,,8.6,11.2,
2011-08-26 09:15:00,7.55,7.46,,8.1,11.6,
2011-08-26 09:30:00,7.52,7.51,,6.2,10.5,
2011-08-26 09:45:00,7.61,7.5,,6.1,10.0,
2011-08-26 10:00:00,7.6,7.5,,6.1,10.3,
